step,smiles,qed
0,CC(=O)C(N)(C(=O)O)C1(c2ccc3cnccc3c2)C=CNC1,0.7263977835762464
0,CCC(C)(N)C(=O)OC1C=CC2=C(OCC2)C1=O,0.7518251290180962
0,NC(=O)C(O)(O)C(N)CC(N)c1ccon1,0.35065349801701867
0,CC(C)(N)C(C(=O)c1ccccc1)n1cc2cc3c(cc2c1)OCO3,0.7402562648737425
0,NC(O)(c1ccccc1)C1C=NNC12C=CC=C1OCOC12c1cnoc1,0.6962522873868785
0,CC(C)C(OCN[SH](=O)=O)C(C)S,0.4551929885173376
0,NC(F)OC(=O)C(n1cccn1)C12C=CC=CC1NCCC2,0.49337423545923614
0,C1=NNC(c2nnn[nH]2)(N2c3cc4c(cc3-c3ccccc3C23Cc2ccccc2N3)COC4)O1,0.4152121829482863
0,NC(C(=O)c1cc2ccccc2s1)C(N)(O)C(=O)O,0.46595943416662305
0,O=C(C1=CCNN=N1)C1ON=CC1(O)C(=O)O,0.5557774463582434
0,NC(O)(C(O)c1ccc2c3c(ccc2c1)C3)S(N)(=O)=O,0.49196140271503136
0,NC(=O)NC(F)(c1ccc2ccccc2c1)C(N)(O)O,0.4074799787783344
0,O=[SH](=O)C1(C23C=Cc4ccccc4C2Oc2ccc4c(c2N3)OC=CO4)C=CNN1S,0.5144613134288397
0,SC(Br)(Oc1n[nH]c2c1CCC2)c1cccc2ccccc12,0.40001539674575615
0,NCCOC(=O)C(C(N)C=O)N1CCC1,0.3960224973153428
0,C1=Cc2cc3c4ccccc4c4c(C56N=CNN5C5=C(C=N6)NCCO5)nc5oc6[nH]ccc6c5c4c3cc2C1,0.25710746448534455
0,NC(=O)C(C=O)(c1ccccc1)C1CCCOC1C1=CNCNC1,0.5382542988033863
0,Oc1ccc2ccncc2c1OC1(O)Cc2cccnc2-c2ncccc21,0.535837111042274
0,NC12C(=CC3=C(C4CCCC4N3)C1(Cl)COC=O)C=CC1=C2C1,0.6139916163220844
0,NC(=O)C(F)(SCF)C1C=CC=CN1,0.7377958073470814
0,CCC(=O)C(C)(N)C1(NC=O)C=CC=CC1,0.6719463064603616
0,CCC(N)(O)C(=O)NC(C)C(C)O,0.42437618121285786
0,O=C(NC(CO)c1ccccc1)C1(O)Cc2cc3c(cc2CN1)OCC3,0.6522390107139777
0,NC(N)(C(=O)COc1nc2c(s1)OCO2)c1cncc2ccccc12,0.651023910337329
0,O=CC1(n2cncn2)C=c2scnc2=C2C1N=CNC21Oc2ccc3c(c2O1)CCC3,0.5637093386010055
0,CC(N)(C(N)=O)C(=O)C1(O)C=CNc2ccccc21,0.5512629805072201
0,CCC(N)C(N)(N)C(=O)NC(N)=O,0.311623409432387
0,CC(C=O)(c1cnc[nH]1)C(N)(Nc1ccccc1)C1CCCCN1,0.47899740270912206
0,c1ccc2c(c1)ccc1c3cncnc3c3c(c21)NN(Cc1ccc2c(c1)OCO2)C3,0.4161354632210271
